,ID,longitude,latitude,ST,TS,TS_PCODE
1126,1127,97.29361725,24.11994553,Kachin,Mansi,MMR001013
1127,1128,98.26357269,21.89213562,Shan (South),Monghsu,MMR014017
1128,1129,97.78160858,23.43252182,Shan (North),Kutkai,MMR015011
1129,1130,98.36224365,21.90489388,Shan (South),Monghsu,MMR014017
1130,1131,97.95584106,23.97438812,Shan (North),Muse,MMR015009
1131,1132,97.82735443,23.43614388,Shan (North),Kutkai,MMR015011
1132,1133,96.7186203,25.52991867,Kachin,Hpakant,MMR001009
1133,1134,98.17805481,24.08061218,Shan (North),Muse,MMR015009
1134,1135,98.55081940000001,23.83394432,Shan (North),Konkyan,MMR015023
1135,1136,97.97584534,23.52919388,Shan (North),Kutkai,MMR015011
1136,1137,96.98015594,22.59756279,Shan (North),Kyaukme,MMR015012
1137,1138,97.13761139,23.19546318,Shan (North),Manton,MMR015019
1138,1139,97.14585114,23.30334663,Shan (North),Manton,MMR015019
1139,1140,98.10785675,23.60353851,Shan (North),Kutkai,MMR015011
1140,1141,97.66680145,23.79713058,Shan (North),Namhkan,MMR015010
1141,1142,96.99938202,22.60199928,Shan (North),Kyaukme,MMR015012
1142,1143,97.69632721,23.78833389,Shan (North),Namhkan,MMR015010
1143,1144,92.52722168,20.86951065,Rakhine,Buthidaung,MMR012010
1144,1145,97.99249268,23.61108971,Shan (North),Kutkai,MMR015011
1145,1146,92.52722168,20.86951065,Rakhine,Buthidaung,MMR012010
1146,1147,97.93069458,23.54752922,Shan (North),Kutkai,MMR015011
1147,1148,98.704216,23.74757385,Shan (North),Laukkaing,MMR015022
1148,1149,98.76464081,23.68722343,Shan (North),Laukkaing,MMR015022
1149,1150,98.76258087,23.68840218,Shan (North),Laukkaing,MMR015022
1150,1151,98.76464081,23.68722343,Shan (North),Laukkaing,MMR015022
1151,1152,97.30036163,22.62363243,Shan (North),Hsipaw,MMR015014
1152,1153,97.79679871,23.57711029,Shan (North),Kutkai,MMR015011
1153,1154,98.80764008,23.75150108,Shan (North),Laukkaing,MMR015022
1154,1155,98.82712555,23.72746086,Shan (North),Laukkaing,MMR015022
1155,1156,98.81098938,23.75071526,Shan (North),Laukkaing,MMR015022
1156,1157,98.81556702,23.69932747,Shan (North),Laukkaing,MMR015022
1157,1158,98.80583954,23.73736,Shan (North),Laukkaing,MMR015022
1158,1159,98.82807159,23.73071671,Shan (North),Namhsan,MMR015016
1159,1160,98.81802368,23.69791222,Shan (North),Laukkaing,MMR015022
1160,1161,97.8167572,23.58356094,Shan (North),Kutkai,MMR015011
1161,1162,97.86614990000001,23.58592033,Shan (North),Kutkai,MMR015011
1162,1163,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1163,1164,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1164,1165,97.82183838,23.689058300000003,Shan (North),Kutkai,MMR015011
1165,1166,98.8157959,23.70757866,Shan (North),Laukkaing,MMR015022
1166,1167,98.8188858,23.69602585,Shan (North),Laukkaing,MMR015022
1167,1168,98.79965973,23.77019882,Shan (North),Laukkaing,MMR015022
1168,1169,97.89361572,23.57585144,Shan (North),Kutkai,MMR015011
1169,1170,98.82866669,23.728717800000002,Shan (North),Namhsan,MMR015016
1170,1171,98.78867340000001,23.77098274,Shan (North),Laukkaing,MMR015022
1171,1172,98.81707764,23.71284485,Shan (North),Laukkaing,MMR015022
1172,1173,98.81201935,23.71017265,Shan (North),Laukkaing,MMR015022
1173,1174,98.81613922,23.7114296,Shan (North),Laukkaing,MMR015022
1174,1175,98.82952881,23.72918892,Shan (North),Namhsan,MMR015016
1175,1176,92.85397339,21.30364609,Chin,Paletwa,MMR004009
1176,1177,96.94925690000001,22.53605652,Shan (North),Kyaukme,MMR015012
1177,1178,97.47799683,21.010459899999997,Shan (South),Loilen,MMR014011
1178,1179,97.62146759,23.74040604,Shan (North),Namhkan,MMR015010
1179,1180,97.4302063,23.33550644,Shan (North),Manton,MMR015019
1180,1181,97.61696625,23.74256325,Shan (North),Namhkan,MMR015010
1181,1182,96.96057892,22.51016045,Shan (North),Kyaukme,MMR015012
1182,1183,98.69217682,23.98357964,Shan (North),Konkyan,MMR015023
1183,1184,99.02388,12.18089485,Tanintharyi,Tanintharyi,MMR006008
1184,1185,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1185,1186,97.64938354,23.79980087,Shan (North),Namhkan,MMR015010
1186,1187,97.4143219,23.10480309,Shan (North),Namtu,MMR015015
1187,1188,98.01833344,23.45724869,Shan (North),Kutkai,MMR015011
1188,1189,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1189,1190,97.76979828,23.81346321,Shan (North),Namhkan,MMR015010
1190,1191,97.79245758,23.831993100000002,Shan (North),Namhkan,MMR015010
1191,1192,97.59561157,23.4436245,Shan (North),Manton,MMR015019
1192,1193,97.68465424,23.83042336,Shan (North),Namhkan,MMR015010
1193,1194,97.39758301,23.09296036,Shan (North),Namtu,MMR015015
1194,1195,97.92932129,23.45748329,Shan (North),Kutkai,MMR015011
1195,1196,97.17125702,23.27811813,Shan (North),Manton,MMR015019
1196,1197,97.39758301,23.09296036,Shan (North),Namtu,MMR015015
1197,1198,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1198,1199,97.13726807,23.26361084,Shan (North),Manton,MMR015019
1199,1200,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1200,1201,97.13005829,23.25887871,Shan (North),Manton,MMR015019
1201,1202,97.18636322,23.29199409,Shan (North),Manton,MMR015019
1202,1203,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1203,1204,97.20833588,23.30334663,Shan (North),Manton,MMR015019
1204,1205,97.13967133,23.3239975,Shan (North),Manton,MMR015019
1205,1206,97.11975861,23.30397606,Shan (North),Manton,MMR015019
1206,1207,97.19803619,23.29388618,Shan (North),Manton,MMR015019
1207,1208,97.3037796,23.264871600000003,Shan (North),Manton,MMR015019
1208,1209,96.78718567,23.18453789,Shan (North),Mongmit,MMR015017
1209,1210,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1210,1211,97.07697296,22.59249115,Shan (North),Kyaukme,MMR015012
1211,1212,97.06667328,22.59185791,Shan (North),Kyaukme,MMR015012
1212,1213,97.2535553,22.84116554,Shan (North),Namhsan,MMR015016
1213,1214,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1214,1215,97.03131104,22.57125092,Shan (North),Kyaukme,MMR015012
1215,1216,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1216,1217,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1217,1218,97.14962769,23.25178146,Shan (North),Manton,MMR015019
1218,1219,97.88606262,23.49527168,Shan (North),Kutkai,MMR015011
1219,1220,97.39758301,23.09296036,Shan (North),Namtu,MMR015015
1220,1221,97.03371429,22.54366875,Shan (North),Kyaukme,MMR015012
1221,1222,97.39758301,23.09296036,Shan (North),Namtu,MMR015015
1222,1223,97.20068359,22.95502281,Shan (North),Namhsan,MMR015016
1223,1224,96.902565,22.6007328,Shan (North),Kyaukme,MMR015012
1224,1225,97.15271759,23.30649948,Shan (North),Manton,MMR015019
1225,1226,97.12113190000001,23.25225449,Shan (North),Manton,MMR015019
1226,1227,97.12146759,23.10338211,Shan (North),Namhsan,MMR015016
1227,1228,,,Shan (North),Namhsan,MMR015016
