ID;longitude;latitude;
160;96.71582031;25.51665115;
161;92.36763763;20.81579971;
162;97.01622772;22.53543854;
163;96.13122559;17.04192924;
164;97.15252686;22.96419525;
165;97.3056488;24.11553192;
166;97.29260254;24.11553192;
167;97.35302734;24.24669838;
168;97.34066772;24.24860954;
169;96.80096436;22.33126068;
170;96.63891602;22.79110718;
171;96.68835449;23.10902405;
172;97.30702209;24.11553192;
173;97.16386414;22.96477127;
174;97.09175873;23.20353317;
175;96.82292938;22.32871628;
176;97.31868744;24.11440086;
177;97.15527344;23.17165947;
178;97.17415619;22.96490669;
179;97.92980194;25.22629166;
180;97.90783691;25.25461769;
181;97.05776978;23.20637321;
182;97.94628906;23.4445858;
183;97.14840698;22.96318245;
184;98.88699341;20.28897667;
185;97.6496582;23.81699371;
186;97.9407959;23.44206619;
187;97.92980957;23.44786263;
188;96.69934082;23.14539528;
189;96.81744385;22.32744789;
190;;;
191;92.36240387;20.84741974;
192;98.39123535;22.47599602;
193;97.74441528;21.97384834;
194;97.62356567;22.02478027;
195;97.4354248;25.25610352;
196;97.03167725;22.53308868;
197;97.8336792;23.67243004;
198;98.92407227;20.28819847;
199;96.76937866;18.32543755;
200;96.76731873;18.32413292;
201;92.90356445;20.13741875;
202;93.65612793;23.38409233;
203;97.71832275;20.89497757;
204;97.93255615;23.45088005;
205;97.59026337;23.91243744;
206;96.21525574;17.09345627;
207;98.36651611;20.31395912;
208;97.92980957;23.4848938;
209;97.30908203;24.11063957;
210;97.31182861;24.11440086;
211;97.34753418;24.24344063;
212;97.34753418;24.24344063;
213;95.54577637;18.41862297;
214;97.70458984;23.80191231;
215;97.17724609;23.00667;
216;97.68261719;23.82703972;
217;97.34753418;24.24844742;
218;97.67712402;23.84211349;
219;97.67712402;23.83708954;
220;97.68261719;23.84211349;
221;97.68261719;23.8295517;
222;97.02069092;22.53435707;
223;94.29882813;24.22465515;
224;92.37141418;20.8134861;
225;97.82269287;23.68076134;
226;97.34753418;23.91180992;
227;99.59423828;21.28321266;
228;97.70870972;23.85279083;
229;98.65078735;23.41591644;
230;97.30358887;24.11690712;
231;97.55627441;23.81321907;
232;97.89685059;23.95762253;
233;97.31732178;24.11440086;
234;97.30908203;24.11440086;
235;97.96826172;23.49496841;
236;97.15802002;22.96558189;
237;97.28436279;24.11941338;
238;97.31732178;24.11941338;
239;97.16351318;22.96305275;
240;97.92156982;23.45088005;
241;97.67437744;23.83080864;
242;92.35836792;20.81653404;
243;97.94491577;23.44354439;
244;97.97650146;23.29731178;
245;97.40795898;23.09007263;
246;97.75952148;22.92195129;
247;92.37072754;20.81155968;
248;97.68261719;23.83080864;
249;97.89135742;23.9783287;
250;97.03442383;22.5318203;
251;92.37072754;20.81669426;
252;97.65515137;23.82703972;
253;97.1607666;22.96242142;
254;97.03536224;22.53261375;
255;97.66707611;23.82896233;
256;97.93067932;23.44729042;
257;97.17811584;20.79262352;
258;97.9801178;23.47891045;
259;97.39784241;23.09038734;
260;97.1231842;23.25703621;
261;98.37013245;21.90792847;
262;98.35914612;21.90792847;
263;97.12867737;23.24694252;
264;97.93617249;23.45371628;
265;97.95265198;23.45371628;
266;96.68922424;23.10554695;
267;99.00184631;12.08019447;
268;97.94166565;23.44867516;
269;97.3017807;24.11142349;
270;97.32649994;24.11392975;
271;97.68348694;23.82609749;
272;96.69471741;23.14090919;
273;97.39392853;23.92187309;
274;97.03810883;22.53768539;
275;97.16723633;22.96281624;
276;97.367836;23.93317032;
277;97.70458984;23.82201576;
278;97.01338959;22.53514862;
279;97.95417786;23.45371628;
280;97.8921814;23.94318962;
281;97.05461121;22.53514862;
282;97.00517273;22.5275383;
283;97.8188858;21.9288311;
284;96.08959961;21.97257423;
285;96.05664063;21.96748161;
286;96.10058594;21.97257423;
287;97.04541016;22.55464935;
288;96.07861328;21.95729256;
289;94.34277344;18.46584892;
290;98.37887573;24.10123825;
291;98.4221344;24.11690712;
292;97.68811035;23.83708954;
293;97.68261719;23.83708954;
