,Catchment  Annual Rainfall (mm),"Total Powerplant Design Discharge (m3/s)
","Transmission Line Length (km)
","Transmission Line Voltage level (kV)
","Turbine Discharge/ Min Flow
","Transmission Line Connected to S/S
","Full Supply Level (FSL) (m)
",Powerhouse Type,Dam Type,"Reservoir Area (km2)
","Estimated No. Construction Workers (planned projects)
","Total Length of Reservoir (km)
","Reservoir Live Storage (hm3)
","Reservoir Dead Storage (hm3)
","Reservoir Retention Period (days)
",Run-of-River or Storage,Township,"Myanmar Selfuse (MW)
",% use MYA,Export (MW),Height (m),Qmin/ MAF,Crest Length (m),"Distance along river between dam and powerhouse (km)
",Plant Factor,Installed Capacity (MW),Financiers,"GIS Rainfall
","Max reservoir area (FSL) (km2)
","Unit Flow (l/s/km2)
",District,"Mean annual inflow (MAF) into reservoir (m3/s)
",Developers,"Sub-Basin (GIS Maps)
",Status (labelled by IFC),State/Region,Basin,Annual Runoff into Reservoir (hm3),"Catchment Area (km2)
","Sub-Basin (HP Chapter)
","Mean annual energy (GW)
",Total storage (FSL) (mil. m3),Notes,River,Function,Country,Location_L,Location_1,Status,Project Name,COD Year,Project ID,geometry,ST,TS,TS_PCODE
0,2436.0,648.0,,230,3.7,230-kV TL Thaton SS and 33 kV TL Myainnggyingu SS MYA,48.0,At dam toe,RCC Gravity Dam,27.1,5100.0,16.0,171.0,338.0,0.0,RoR,Kamamung,136.0,0.1,1224.0,118,0.32,,0.0,0.61,1360.0,Foreign JV/BOT,1540.0,,14.2,Hpapun,4409.0,Sinohydro+EGATi+IGOEC,Lower Thanlwin,MOA,Kayin,Thanlwin,139042.0,311167.0,Thanlwin Mainstem,1360,509,Location: https://en.wikipedia.org/wiki/Hatgyi_Dam.,Thanlwin Mainstem,HP,PRC/THA/MYA,97.747,17.528,Proposed,Hutgyi,2020,DAM0021,POINT (97.747 17.528),Kayin,Hpapun,MMR003003
0,,,25.0,33,,Taungoo,119.0,Above ground,Rock/Embankment?,150.0,,16.0,384.0,1084.0,123.0,S,Oak Twin,30.0,1.0,0.0,61,0.12,,0.0,0.46,30.0,Sole Investment,2081.0,,33.3,Taungoo,36.1,MoEE/MOALI,Other Sittaung,Built,Bago,Sittaung,1138.0,1083.0,Other Sittaung,30,1468,,Kabaung Chaung,MP,Myanmar,96.220825,18.896717,Complete,Kabaung,2008,DAM0022,POINT (96.220825 18.896717),Bago (East),Oktwin,MMR007013
0,,51.0,119.0,132,4.2,Namsan,,Above ground,CG,0.1,,0.9,52.0,9.0,4.0,S,Moenane,54.0,1.0,0.0,27,0.22,,2.2,0.8,54.0,Sole Investment,1475.0,,19.5,Linkhe,164.8,MoEE,Nam Teng,Built,Shan,Thanlwin,5196.0,8450.0,Nam Teng,54,61,Google Earth visible.,Nam Teng,HP,Myanmar,98.29305,20.598345,Complete,Keng Tawng,2009,DAM0023,POINT (98.29304999999999 20.598345),Shan (South),Mongnai,MMR014019
0,,154.0,73.0,132,4.6,Namsan,,Semi underground,Rockfill,23.3,,,110.0,19.0,9.0,S,Keng Tawng,51.0,1.0,0.0,56,0.23,,0.0,0.52,51.0,Sole Investment,1475.0,,19.5,Linkhe,146.4,MoEE,Nam Teng,Construction,Shan,Thanlwin,4618.0,7510.0,Nam Teng,51,128,Google Earth visible.,Nam Teng,HP,Myanmar,98.184077,20.74558,UC,Keng Tawng (upper),2019,DAM0024,POINT (98.184077 20.74558),Shan (South),Mongnai,MMR014019
0,,,,,,,,,,8.4,700.0,26.0,12.0,21.0,1.0,RoR,,85.0,0.5,85.0,,0.2,,0.0,0.36,170.0,Foreign JV/BOT,1381.0,,24.4,Mongkhak,111.0,YNIC,Nam Lwe,MOU,Shan,Mekong,3500.0,4543.0,Nam Lwe,170,32,,Nam Lwe,HP,PRC,99.500985,21.617799,Proposed,Keng Tong,2025,DAM0025,POINT (99.500985 21.617799),Shan (East),Mongkhet,MMR016002
0,,,,,,,,,,5.4,300.0,24.0,8.0,33.0,0.0,RoR,,35.0,0.5,35.0,,0.2,,0.0,0.25,70.0,Foreign JV/BOT,1381.0,,23.8,He Kou,340.0,YNIC,Nam Lwe,MOU,Shan,Mekong,10722.0,14260.0,Nam Lwe,70,41,,Nam Lwe,HP,PRC,100.5619,21.3469,Proposed,Keng Yang,2025,DAM0026,POINT (100.5619 21.3469),Shan (East),Mongyawng,MMR016011
0,,1611.0,,,9.5,,875.0,Underground,CFRD,32.9,9100.0,85.0,1526.0,1574.0,12.0,S,Kanglanphu,,,,223,0.11,,0.0,0.62,2700.0,Foreign JV/BOT,1540.0,,102.4,Puta-O,1500.0,CPI,Nmae Hka,MOA,Kachin,,47304.0,14655.0,Ayeyarwady Headwaters,2700,3100,,N'Mai  Hka,HP,PRC,98.376808,26.849507,Proposed,Khaunglanphu,2030,DAM0121,POINT (98.376808 26.849507),Kachin,Khaunglanhpu,MMR001018
0,,,0.0,132,,"Ingone,Thazi",193.0,Above ground,Rockfill,28.6,,14.5,871.0,207.0,290.0,S,Kyaukse,56.0,1.0,0.0,72,0.2,620.0,0.0,0.34,56.0,Sole Investment,,43.38,15.5,Taunggyi,34.7,MoEE,Zawgyi/Myogyi,Built,Shan,Ayeyarwady,1094.0,2240.0,Myitnge,56,1078,Google Earth visible.,Panlaung Chaung,MP,Myanmar,96.321037,21.160437,Complete,Kinda,1990,DAM0028,POINT (96.321037 21.160437),Shan (South),Ywangan,MMR014007
0,,,41.0,230,,Chauk,190.0,Above ground,Earth/Rock,150.0,,23.0,1135.0,333.0,376.0,S,Pyu,60.0,1.0,0.0,73,0.09,,2.5,0.36,60.0,Sole Investment,2081.0,,40.8,Bago,34.9,MoEE,Other Sittaung,Built,Bago,,1101.0,855.0,Other Sittaung,60,1468,,Kun Chaung,MP,Myanmar,96.363854,18.420367,Complete,Kun Chaung,2012,DAM0125,POINT (96.363854 18.420367),Bago (East),Kyauktaga,MMR007006
0,,620.0,68.0,230,6.1,Theinni,519.0,At dam toe,CG,65.4,5200.0,55.0,208.0,483.0,1.0,RoR,Kunlong,700.0,0.5,700.0,103,0.27,,0.0,0.58,1400.0,Foreign JV/BOT,,,14.8,Kunlong,1910.0,"Hanergy YN, MPC",Upper Thanlwin,JVA,Shan,Thanlwin,60234.0,128989.0,Thanlwin Mainstem,1400,691,,Thanlwin Mainstem,HP,PRC/MYA,98.611111,23.531667,Proposed,KunLong,2023,DAM0030,POINT (98.61111099999999 23.531667),Shan (North),Kunlong,MMR015020
